card,lens_no,lens_echo,pour_no,wine,producer_or_region,blurb,grape,style,vintage,abv,serve,notes,pairs_with,acid,sweet,tannin,body,status
Death,III,Unrecognizable. The point entirely.,1,Elizabeth Semillon,"Mount Pleasant, Hunter Valley","Unrecognizable, in the best way. Hunter Semillon is picked lean and sharp at barely eleven degrees, then does its transformation in glass: a decade later the same wine pours toast, honey, and lanolin, as if oak had been involved. It never was. The stranger in the mirror is still you.",Semillon,"White, aged unoaked",2014,11%,9-11°C,"Toast, honey, lemon curd","Roast chicken, aged cheddar",0.85,0.05,0.05,0.35,draft
Temperance,I,The middle path. Hardest won.,1,Hermitage,"Jean-Louis Chave, Rhône","The middle took the most skill. The Chave family has worked the Hermitage hill since 1481, blending parcels from every slope into one wine, no cuvées, no extremes, five centuries of practice at the exact center. Power and perfume in equal pour. Restraint, mastered, tastes like this.",Syrah,"Red, Hermitage",2018,13.5%,"16-17°C, decant 1 hr","Blackberry, iris, smoke","Venison, beef daube",0.65,0.05,0.65,0.7,draft
Temperance,II,The measured mix. Seamless.,1,La Crau,"Vieux Télégraphe, Châteauneuf-du-Pape","Many parts, one purpose. On the stony plateau of La Crau, Vieux Télégraphe folds Grenache, Mourvèdre, Syrah, and friends into a single measured pour where no grape ever takes the microphone. The blend is the message. Seams sold separately, and never in stock.",GSM blend,"Red, Châteauneuf-du-Pape",2019,14.5%,16-17°C,"Raspberry, garrigue, stone","Lamb, ratatouille",0.6,0.06,0.55,0.75,draft
Temperance,III,"Time, doing the work. Patient soul.",1,Viña Tondonia Blanco Reserva,"López de Heredia, Rioja","Time smooths what force cannot. López de Heredia's white Reserva spends years upon years in old American oak, racked by hand, hurried by no one, emerging a decade on as something golden and calm that force could never fake. The recipe is patience. The yield is peace.",Viura blend,"White, aged traditional Rioja",2012,12.5%,11-13°C,"Dried apple, nuts, beeswax","Roast fish, jamón",0.7,0.04,0.1,0.6,draft
Temperance,IV,Raised together. It shows in the ease.,1,Old Vine Zinfandel,"Bedrock Wine Co., California","What grows up together gets along. California's heritage vineyards were planted as true field blends, Zinfandel interleaved with a dozen dark companions, all picked and fermented as one because that was the point. Bedrock keeps those old rows alive. The harmony was planted in, generations ago.",Zinfandel blend,"Red, heritage field blend",2021,14.5%,15-16°C,"Brambleberry, pepper, sage","Barbecue, roast pork",0.6,0.08,0.5,0.75,draft
The Devil,I,The second round. Inevitable.,1,The Prisoner,"The Prisoner Wine Co., Napa","The first one was never going to be enough; this blend was engineered on that exact premise. The Prisoner built plush, dark, just-sweet-enough irresistibility into a brand so potent it sold for roughly 285 million dollars. Resistance was always the wrong investment. Glasses empty themselves around here.",Zinfandel blend,"Red, plush blend",2021,15.2%,16°C,"Ripe berry, mocha, vanilla","Burgers, barbecue",0.45,0.25,0.5,0.85,draft
The Devil,II,Expensive tastes. Money well spent.,1,Syrah,"Sine Qua Non, California","Some chains look a lot like luxury. Sine Qua Non renames and redraws every release, Manfred Krankl's artwork on each label, and the waiting list for an allocation runs the better part of a decade. People wait anyway. Obsession, it turns out, cellars beautifully.",Syrah,"Red, cult allocation",2019,15.5%,16-17°C,"Blueberry, violet, smoked meat","Short rib, au poivre",0.5,0.1,0.6,0.95,draft
The Devil,IV,The gorgeous fake. Savor it.,1,Península Palo Cortado,"Lustau, Jerez","Some things are better when they aren't real. Palo Cortado is sherry's beautiful impossibility: born under flor as a fino, abandoned by its veil, finished as something neither fino nor oloroso, a category that exists because a cask once lied. Nutty, saline, elegant. The forgery outclassed the originals.",Palomino,Palo Cortado sherry,NV,19%,12-14°C,"Hazelnut, citrus peel, caramel","Consommé, aged Gouda",0.65,0.08,0.05,0.6,draft
The Tower,I,"The match, handed over. Gladly.",1,Initial,"Jacques Selosse, Champagne","Matter of fact, hand me the match: Anselme Selosse lit Champagne's old order on fire by treating it as wine, not process, farming Avize like Burgundy and letting oxygen and oak into the temple. The big houses called it heresy. An entire generation of growers calls it year one.",Chardonnay,"Grower Champagne, oxidative",NV,12.5%,10-12°C,"Baked apple, praline, chalk","Aged Comté, roast poultry",0.7,0.1,0.05,0.6,draft
The Tower,II,The survivor. Noted.,1,Napa Valley Cabernet,"Frog's Leap, Rutherford","What should have been the end wasn't. In August 2014 the South Napa earthquake threw barrels from their racks weeks before harvest; growers swept glass, patched tanks, and brought the vintage in anyway. Frog's Leap's Rutherford Cabernet from that year drinks calm as ever. Structural integrity, in every sense.",Cabernet Sauvignon,"Red, Napa Cabernet",2014,13.9%,16-17°C,"Cassis, dust, dried herbs","Lamb, hard cheeses",0.6,0.05,0.6,0.7,draft
The Tower,III,"The illusion, gone. Better this way.",1,Polish Hill Riesling,"Grosset, Clare Valley","Once seen, impossible to unsee. In 2000 Jeffrey Grosset led Clare Valley's Rieslings out of cork entirely, sealing serious wine under screwcap while the old guard gasped; the corked-bottle mystique never recovered. Polish Hill is the argument itself: lime, slate, absolute precision. No veil, no flaw, no going back.",Riesling,"White, dry screwcap pioneer",2022,12.8%,8-10°C,"Lime, slate, white flowers","Ceviche, Thai fish",0.9,0.03,0.05,0.35,draft
The Star,I,A clear sky at last. Breathe.,1,Torrontés,"Colomé, Salta","Clarity is its own comfort. Colomé farms some of the highest vineyards on the planet, thin Andean air above two thousand metres where sunlight pours uninterrupted and the nights run cold. The Torrontés comes down crystalline: white flowers, mountain water, sky. Exhale accordingly.",Torrontés,"White, high-altitude aromatic",2022,13%,8-10°C,"White flowers, peach, citrus","Ceviche, soft cheeses",0.7,0.08,0.05,0.45,draft
The Star,II,"Hope, the durable kind. Proven.",1,Château Musar Rouge,"Bekaa Valley, Lebanon","Even ruins get a morning. Château Musar kept harvesting through fifteen years of civil war, trucking grapes past the front lines, losing only a vintage or two to the fighting. The wine outlived the war and became Lebanon's calling card. Hope, bottled annually, against considerable odds.",Cabernet-Cinsault blend,"Red, aged Lebanese",2016,14%,16-17°C,"Dried fig, cedar, spice","Lamb tagine, aged cheeses",0.65,0.08,0.5,0.7,draft
The Star,III,The guiding light. Follow on.,1,Munjebel Rosso,"Frank Cornelissen, Etna","Purpose steadies everything it touches. Frank Cornelissen left a wine-trading career for Etna's north face to chase a single idea: wine with nothing added and nothing taken, farming so pure the bottle is only a lens. Munjebel is that conviction, poured. The star he steers by never moves.",Nerello Mascalese,"Red, natural volcanic",2021,14%,15-16°C,"Wild cherry, blood orange, ash","Grilled vegetables, rare tuna",0.7,0.05,0.4,0.55,draft
The Star,IV,Generosity repaid forward. Shine on.,1,Napa Valley Cabernet Sauvignon,"Robert Mondavi Winery, Napa","Wisdom shared loses nothing. Robert Mondavi ran his winery like an open university, publishing research, hosting rivals, training a generation who went on to build Napa around him. The flagship Cabernet still carries the founding idea: excellence is worth more once everyone can reach it.",Cabernet Sauvignon,"Red, benchmark Napa",2019,14.5%,16-17°C,"Cassis, cedar, cocoa","Steak, mushroom dishes",0.6,0.05,0.6,0.75,draft
The Moon,I,The shapeshifter. Watch closely.,1,Gevrey-Chambertin,"Domaine Armand Rousseau, Burgundy","Never quite the same twice. Great Burgundy is the cellar's registered shapeshifter, and Rousseau's Gevrey is its reference specimen: cherries and roses one hour, undergrowth and iron the next, a different wine by midnight. Watch the glass, not the clock. It moves when you don't.",Pinot Noir,"Red, village Burgundy",2020,13%,15-16°C,"Cherry, rose, forest floor","Duck, coq au vin",0.7,0.04,0.45,0.55,draft
The Moon,II,Pulled by the unseen. So are we all.,1,Clos de la Coulée de Serrant,"Nicolas Joly, Savennières","Pulled by something that can't be seen. The Coulée de Serrant has been under vine since monks planted it in the twelfth century; Nicolas Joly farms it by the lunar calendar, horn and cow dung and celestial timing, biodynamics at its most unapologetic. The tide is invisible. The wine, undeniably, moves.",Chenin Blanc,"White, biodynamic monopole",2019,14%,"12-14°C, open early","Quince, herbs, wax","Rich fish, poultry in cream",0.7,0.08,0.1,0.7,draft
The Moon,IV,"The dark, trusted. It repays.",1,Arbois Poulsard,"Domaine Tissot, Jura","Some things only make sense without the light. Poulsard pours so pale it reads as rosé, then lands with the savory grip of a red; served blind, it dismantles every assumption the eyes would have supplied. Cranberry, iron, orange peel. The dark tells you more than the label ever did.",Poulsard,"Red, pale Jura",2021,12.5%,"13-14°C, light chill","Cranberry, iron, orange peel","Charcuterie, mushroom tart",0.75,0.04,0.25,0.35,draft
The Sun,I,The golden year. Nothing but yes.,1,Château Batailley,"Pauillac, Bordeaux","Some years simply go right. 2009 gave Bordeaux a growing season of storybook sunshine, ripening everything easily and evenly, a vintage critics reached for superlatives to describe. Batailley bottled that ease: warm cassis, round tannin, generosity without a catch. The sun did say yes.",Cabernet blend,"Red, sunny-vintage Pauillac",2009,13.5%,17°C,"Cassis, tobacco, warm earth","Roast beef, lamb",0.55,0.05,0.65,0.75,draft
The Sun,II,"Warmth, unhurried. Stay a while.",1,Woodcutter's Shiraz,"Torbreck, Barossa Valley","The warm ones never rush. Barossa sunshine soaks old, dry-grown Shiraz until the fruit turns dark and easy; Torbreck bottles it whole, plush and open on arrival, no waiting period, no fine print. A long afternoon, decanted. Leaving early would be rude.",Shiraz,"Red, Barossa",2021,14.5%,16°C,"Blackberry, plum, clove","Barbecue, braises",0.5,0.08,0.55,0.85,draft
The Sun,III,Simple joy. The honest kind.,1,By.Ott Rosé,"Domaines Ott, Provence","The best pleasures skip the fine print. Provence rosé asks for nothing: pale as late light, cool as the shade, gone before the question of seriousness comes up. Domaines Ott has made the style's benchmark for a century. Peach, salt, sunshine. That's the whole contract.",Grenache-Cinsault blend,"Rosé, Provence",2023,13%,8-10°C,"Peach, citrus, salt","Salade niçoise, grilled fish",0.65,0.05,0.05,0.35,draft
The Sun,IV,The celebration. Well lit.,1,Cuvée Prestige,"Ca' del Bosco, Franciacorta","Joy insists on company. Franciacorta is Italy's grand answer to Champagne, and Ca' del Bosco makes it with famous extravagance, every grape washed and chilled in a 'berry spa' before pressing. The result sparkles like applause: golden apple, cream, lift. Success, audibly opening.",Chardonnay blend,"Sparkling, Franciacorta",NV,12.5%,8-10°C,"Golden apple, cream, citrus","Fried appetizers, risotto",0.7,0.1,0.05,0.5,draft
Judgement,I,"History, corrected. Overdue.",1,Artemis Cabernet Sauvignon,"Stag's Leap Wine Cellars, Napa","History reserves the right to change its mind. In Paris, 1976, French judges tasted blind and ranked Stag's Leap's Cabernet above first-growth Bordeaux, a verdict that rewrote the world's wine map in an afternoon. Artemis descends from that reckoning: dark, polished, and carrying the receipts.",Cabernet Sauvignon,"Red, Napa Cabernet",2021,14.5%,16-17°C,"Black cherry, cocoa, bay","Steak, roast duck",0.6,0.05,0.6,0.75,draft
Judgement,II,The reconsideration. Granted.,1,Clisson,"Domaine de la Pépière, Muscadet","Dismissed was never the final word. Muscadet spent decades sentenced to the oyster bar, cheap and forgettable; then growers like Pépière aged it long on the lees over granite, and the appellation won France's blessing for true crus. Clisson is the appeal, upheld: saline, dense, built to age.",Melon de Bourgogne,"White, cru Muscadet",2020,12%,9-11°C,"Lemon pith, stone, brine","Oysters, white fish",0.85,0.03,0.05,0.45,draft
Judgement,III,The resurrection. Witnessed.,1,Mt. Veeder Cabernet,"Mayacamas, Napa Valley","Ruin was only intermission. The stone winery at Mayacamas went up in 1889, fell silent, and was revived more than once, most recently restored with its old-school soul intact: mountain Cabernet aged in ancient oak, austere and patient as ever. The bell rang again. Same voice, second life.",Cabernet Sauvignon,"Red, mountain Cabernet",2018,13.5%,"17°C, decant 1 hr","Red currant, gravel, herbs","Lamb, aged cheeses",0.65,0.04,0.7,0.7,draft
Judgement,IV,"The name, restored. Redeemed.",1,Trousseau,"Arnot-Roberts, California","Extinction has exceptions. Trousseau all but vanished from California until Arnot-Roberts began coaxing it back, bottling a red so pale and fragrant it made the forgotten grape a sommelier password. The name is spoken again, in better rooms than it ever knew. Redemption pours translucent.",Trousseau,"Red, pale revival",2022,12.5%,"13-14°C, light chill","Strawberry, rosehip, earth","Charcuterie, salmon",0.75,0.04,0.2,0.35,draft
The World,I,The complete view. At last.,1,Opus One,"Oakville, Napa Valley","Every piece finally in its place. Opus One was drawn up as a completed circle: Robert Mondavi and Baron Philippe de Rothschild, new world and old, one estate speaking both languages in a single blend. Cassis and cedar with a French accent and a California tan. The whole picture, in one frame.",Cabernet blend,"Red, Bordeaux-Napa union",2019,14.5%,"17°C, decant 1 hr","Cassis, cedar, dark chocolate","Filet, lamb",0.6,0.05,0.65,0.8,draft
The World,II,"Earned, every inch. Respect.",1,Barolo Riserva Monfortino,"Giacomo Conterno, Piedmont","The kind of triumph that took the long way. Monfortino spends around seven years in a single great cask before anyone outside the cellar tastes it, the longest road in Barolo, walked on purpose. What emerges needs no introduction and takes no shortcuts. Neither did you, apparently.",Nebbiolo,"Red, Barolo Riserva",2015,14.5%,"17-18°C, decant 2 hrs","Dried rose, tar, red fruit","Brasato, white truffle",0.75,0.04,0.85,0.7,draft
The World,IV,Journey's end. Welcome.,1,La Tâche,"Domaine de la Romanée-Conti, Burgundy","The journey ends where it was always heading. La Tâche is the bottle the entire pilgrimage points toward, a walled monopole whose name closes conversations; there is nowhere further to go from here. Silk, incense, red fruit without gravity. Arrival tastes unhurried. It can afford to be.",Pinot Noir,"Red, grand cru monopole",2018,13.5%,16-17°C,"Red fruit, incense, silk","Squab, quiet company",0.65,0.04,0.55,0.6,draft
Ace of Wands,I,The first of its kind. Auspicious.,1,Cabernet Sauvignon,"Ashes & Diamonds, Napa","Firsts carry a thrill nothing repeats, and Ashes & Diamonds bottled it: a debut Napa winery that showed up in 2017 wearing retro labels and a fresh thesis, lower ripeness, brighter lines, old-school Napa reborn as the new kid. First releases only happen once. This one knew it.",Cabernet Sauvignon,"Red, new-wave Napa",2019,13.5%,16°C,"Red currant, herbs, cedar","Roast chicken, flank steak",0.65,0.04,0.55,0.65,draft
Ace of Wands,II,Raw voltage. Careful now.,1,Albariño,"Pazo Señorans, Rías Baixas","Energy this fresh can't sit still. Albariño grows a stone's throw from the Atlantic, and Pazo Señorans bottles the charge intact: sea spray, green apple, a current of acidity that hums against the glass. No oak, no waiting, no chaperone. Mind the live wire.",Albariño,"White, Atlantic",2022,12.5%,8-10°C,"Green apple, citrus, sea spray","Shellfish, ceviche",0.85,0.05,0.05,0.4,draft
Ace of Wands,III,The fresh spark. Feed it.,1,Evangelho Heritage,"Bedrock Wine Co., Contra Costa","Inspiration is contagious. The Evangelho vineyard is a nineteenth-century jumble of varieties growing on their own roots in beach sand, and every Bedrock bottling from it reads like a new idea catching: bright, spicy, unrepeatable. One sip starts three conversations. Kindling works that way.",Zinfandel-Carignane blend,"Red, heritage field blend",2021,13.5%,14-15°C,"Red berry, spice, dust","Grilled sausage, pizza",0.65,0.06,0.4,0.6,draft
Ace of Wands,IV,"Potential, spotted early. Keen eye.",1,Barolo Albe,"G.D. Vajra, Piedmont","Greatness starts as a hint. Young Barolo shows its future the way a spark shows a fire: perfume first, structure underneath, everything still coiled. Vajra's Albe is built for exactly this glimpse, roses and tar in miniature, decades folded inside. The hint is broad. Take it.",Nebbiolo,"Red, young Barolo",2019,14.5%,"17°C, decant 1 hr","Rose, cherry, tar","Braised meats, risotto",0.7,0.05,0.7,0.6,draft
Two of Wands,I,"Old and new, both kept. Shrewd.",1,Barolo,"Pio Cesare, Piedmont","The past and the future can share a table; Pio Cesare set one. The house ages Barolo in both big old casks and French barriques, a foot planted deliberately in each century since the family began in 1881. Neither tradition surrendered. The blend of eras is the signature.",Nebbiolo,"Red, classic-modern Barolo",2018,14%,"17°C, decant 1 hr","Cherry, tar, vanilla spice","Braised beef, tajarin",0.7,0.05,0.7,0.65,draft
Two of Wands,II,"Two futures, still open. Enjoy the view.",1,Reserva,"Bodegas Muga, Rioja","Two futures, both still open: Rioja split over oak a generation ago, tradition's long American-barrel naps against a fresher French-oak path, and never fully chose. Muga walks the second road with the first in view, blending both coopers under one roof. The debate continues. Deliciously.",Tempranillo blend,"Red, modern-classic Rioja",2019,14%,16°C,"Red plum, vanilla, tobacco","Lamb chops, Manchego",0.65,0.05,0.55,0.65,draft
Two of Wands,III,Early promise. It compounds.,1,The Bard,"Realm Cellars, Napa Valley","Promise shows itself ahead of proof. Realm nearly collapsed in its first decade, lost fruit, lost money, kept planning, and The Bard became the swagger of the second act: a Napa blend from a house that mapped its ambitions before it owned a single vine. The map held. Early backers smile widest.",Cabernet blend,"Red, Napa blend",2021,14.8%,"17°C, decant 30 min","Dark plum, cocoa, sage","Ribeye, short rib",0.55,0.06,0.65,0.85,draft
Two of Wands,IV,The far horizon. It calls back.,1,Promis,"Gaja Ca' Marcanda, Bolgheri","Somewhere else keeps calling. After five generations mastering Piedmont, the Gaja family answered the coast, buying Bolgheri land in 1996 to see what their hands could do with maritime Tuscany. Promis is the postcard home: dark cherry, sea herbs, no regrets. The horizon, it turns out, was fully stocked.",Merlot-Syrah blend,"Red, coastal Tuscan",2021,14%,16°C,"Dark cherry, herbs, spice","Grilled meats, pasta",0.6,0.05,0.55,0.7,draft
Three of Wands,I,Expansion. As planned.,1,Abstract,"Orin Swift, California","What worked here works out there. Dave Phinney built and sold wine brands the way others build houses, The Prisoner among them, then kept expanding under Orin Swift with vineyards gathered across whole regions. Abstract pulls Grenache and friends from everywhere at once. The map keeps growing. So does the blend.",Grenache blend,"Red, multi-region blend",2021,15%,16°C,"Black raspberry, mocha, spice","Barbecue, burgers",0.5,0.1,0.55,0.85,draft
Three of Wands,II,"The ships, returning. Right on time.",1,Late Bottled Vintage Port,"Taylor Fladgate, Douro","The long routes made the legends. Port exists because wine had to survive the sea, fortified in Oporto so it could cross oceans and arrive richer than it left; Taylor's has shipped it since 1692. The LBV keeps that cargo spirit: dark, sweet, well-traveled. The horizon pays its debts.",Touriga blend,"Fortified, LBV Port",2018,20%,16-18°C,"Black plum, chocolate, spice","Stilton, chocolate desserts",0.5,0.75,0.5,0.85,draft
Three of Wands,III,"Patience, repaid. In full.",1,Gran Reserva 904,"La Rioja Alta, Rioja","Patience got exactly what it ordered. The 904 spends years in cask and more in bottle before the house lets it leave, released only when the promise it showed young has been fully kept. What returns is silk and sandalwood, tobacco and dried cherry. The foresight was the hard part. The reward pours easily.",Tempranillo,"Red, Gran Reserva Rioja",2011,14.5%,16°C,"Dried cherry, sandalwood, tobacco","Roast lamb, jamón",0.7,0.04,0.5,0.6,draft
Three of Wands,IV,Known everywhere. Deservedly.,1,Malbec,"Catena, Mendoza","Good news travels fluently. Malbec was a fading Bordeaux afterthought until Argentina raised it at altitude and the Catena family carried it to every wine list on earth, a grape reborn as a country's calling card. The flagship bottling is the passport: violet, plum, high-mountain freshness. Borders, cleared.",Malbec,"Red, high-altitude Mendoza",2021,13.5%,16°C,"Violet, plum, cocoa","Steak, empanadas",0.6,0.06,0.55,0.75,draft
Four of Wands,I,The full celebration. Begin.,1,Crede Prosecco Superiore,"Bisol, Valdobbiadene","Joy is louder shared. Real Prosecco Superiore comes off steep Valdobbiadene hillsides, not flatland tanks, and Bisol has farmed them since the sixteenth century; Crede is the hills in party dress, pear blossom and lift. The cork was designed to be heard across the room. Let it.",Glera,"Sparkling, Prosecco Superiore",NV,11.5%,6-8°C,"Pear, white flowers, citrus","Prosciutto, fried snacks",0.65,0.25,0.05,0.35,draft
Four of Wands,II,Open doors. The best kind of house.,1,Fleurie Les Moriers,"Domaine Chignard, Beaujolais","The best gatherings run on ease, and Fleurie was built for them: the friendliest of the Beaujolais crus, floral by name and nature. Chignard's old vines on Les Moriers add just enough seriousness to keep the conversation going past midnight. Nobody checks the time in this house.",Gamay,"Red, cru Beaujolais",2021,13%,"14°C, light chill","Iris, red cherry, spice","Charcuterie, roast chicken",0.7,0.05,0.35,0.45,draft
Four of Wands,III,Deep foundations. Rest easy.,1,Riesling,"Trimbach, Alsace","Stability is the quiet luxury. The Trimbach family has made Riesling in the same Alsatian village since 1626, thirteen generations of the same dry, chiseled house style through wars, borders, and fashion. The yellow label means what it meant a century ago. Foundations like that pour steadily.",Riesling,"White, dry Alsace",2021,13%,9-11°C,"Lemon, stone, white pepper","Choucroute, roast trout",0.8,0.04,0.05,0.45,draft
Four of Wands,IV,"A date worth keeping. Forever, in fact.",1,Vintage Port,"Fonseca, Douro","Some dates get kept forever. Vintage Port is only declared in exceptional years, a handful each decade, and those bottles become the ones bought for births and weddings, opened decades later with the same people. Fonseca's is among the greatest of the tradition. The calendar keeps score. So does the cellar.",Touriga blend,"Fortified, Vintage Port",2017,20%,"16-18°C, decant","Cassis, violet, dark chocolate","Stilton, walnuts",0.55,0.8,0.7,0.95,draft
Five of Wands,I,"The friction. Productive, actually.",1,Saint-Joseph,"Pierre Gonon, Rhône","Friction means everyone showed up. Young Gonon Saint-Joseph arrives with everything arguing at once, granite grip, wild dark fruit, iron, pepper, none of it yet willing to yield the floor. The argument is the energy. Give it air and listen to the ideas sort themselves out.",Syrah,"Red, Northern Rhône",2021,13%,15-16°C,"Blackberry, pepper, iron","Grilled lamb, sausages",0.7,0.04,0.6,0.65,draft
Five of Wands,II,Healthy rivalry. Everyone improves.,1,Sorì Ginestra,"Conterno Fantino, Monforte d'Alba","Rivalry raises everyone's game. In Monforte d'Alba a dozen serious houses farm the same famous slopes, each certain their row of Ginestra says it best; Conterno Fantino's version argues with polish and dark perfume. Nobody in the village coasts. The hill won't allow it.",Nebbiolo,"Red, cru Barolo",2018,14.5%,"17°C, decant 1 hr","Black cherry, licorice, rose","Braised beef, aged cheeses",0.7,0.05,0.75,0.65,draft
Five of Wands,III,Strong opinions. The fun kind.,1,Tannat,"Bodega Garzón, Uruguay","The interesting ones split the room. Tannat is Uruguay's national grape and nobody's neutral pour: dense, dark, gripping, adored and protested at the same table. Garzón grows it on granite by the Atlantic and softens exactly none of its convictions. Pick a side. Refills for both camps.",Tannat,"Red, Uruguayan",2020,14.5%,16-17°C,"Black fruit, cocoa, graphite","Grilled beef, hard cheeses",0.6,0.05,0.75,0.85,draft
Five of Wands,IV,Quarreling with the rulebook. Justified.,1,Le Pergole Torte,"Montevertine, Tuscany","Some arguments improve the world. Sergio Manetti quit the Chianti Classico consortium rather than blend as the rules demanded, bottling pure Sangiovese as a lowly table wine out of spite and conviction. Le Pergole Torte became a Tuscan icon anyway. The rulebook lost the argument. Everyone drinks better for it.",Sangiovese,"Red, iconoclast Tuscan",2019,13.5%,16-17°C,"Sour cherry, rose, iron","Bistecca, wild boar ragù",0.75,0.04,0.65,0.6,draft
Six of Wands,I,Acclaim. Overdue and accurate.,1,Único,"Vega Sicilia, Ribera del Duero","Acclaim finds the deserving eventually. Único has been Spain's most decorated wine for the better part of a century, aged around a decade before release and ranked with the world's greats every time critics line up. The laurels arrive on schedule now. They were earned before anyone was looking.",Tempranillo blend,"Red, Spanish flagship",2012,14%,"17°C, decant 1 hr","Dark cherry, cedar, spice","Roast lamb, aged cheeses",0.65,0.05,0.7,0.75,draft
Six of Wands,II,Triumph after the hard years. Sweeter.,1,Volnay,"Marquis d'Angerville, Burgundy","The struggle made the triumph sweeter. Hail hammered Volnay three vintages running in the twenty-tens, whole crops shredded in minutes; when generous years finally returned, d'Angerville's silken, red-fruited Volnay tasted like a village exhaling. Victory after loss pours differently. Better, mostly.",Pinot Noir,"Red, Volnay",2018,13%,15-16°C,"Red cherry, rose, silk","Duck breast, mushroom dishes",0.7,0.04,0.45,0.55,draft
Six of Wands,III,Public victory. Take the applause.,1,Cuvée de Réserve,"Pierre Péters, Champagne","Success is best public. Grower Champagne spent decades as an insider's secret; Pierre Péters helped drag it onto the main stage, Chardonnay from grand cru Le Mesnil now poured at the world's celebrations alongside the famous houses. The applause found the right address. Stand up, glass high.",Chardonnay,Blanc de Blancs Champagne,NV,12%,8-10°C,"Citrus, chalk, white flowers","Oysters, celebration",0.8,0.08,0.05,0.45,draft
Six of Wands,IV,The track record. It speaks.,1,Monte Bello,"Ridge Vineyards, Santa Cruz Mountains","Getting better is a habit. Monte Bello has been made from the same mountain since 1962, and tasting down the vintages reads like a winning streak: the 1971 placed in Paris, then won the famous thirty-year rematch outright. The record speaks in complete sentences. The current release is another one.",Cabernet blend,"Red, mountain Cabernet",2019,13.5%,"17°C, decant 1 hr","Blackcurrant, gravel, bay","Beef, aged Gouda",0.65,0.04,0.7,0.75,draft
Seven of Wands,I,The stand. Unmoved.,1,Meursault,"Domaine Roulot, Burgundy","Conviction doesn't rotate with fashion. When white Burgundy chased butter and new oak, Jean-Marc Roulot held Meursault to its stony, saline core, defending the vineyard's actual voice against the era's applause. Fashion circled back to him, as it does. The ground never moved. He was standing on it.",Chardonnay,"White, precise Meursault",2020,13%,11-13°C,"Lemon, hazelnut, salt","Roast fish, poultry in cream",0.75,0.04,0.05,0.55,draft
Seven of Wands,II,"Distinct, on purpose. Rare nerve.",1,Reuilly Blanc,"Domaine de Reuilly, Loire","Distinct beats familiar in the long run. Reuilly grows Sauvignon Blanc twenty miles from Sancerre's fame at half the price and none of the imitation, holding its own chalky, nettle-bright ground against the neighbor everyone can pronounce. Standing apart takes nerve. It also takes the table's attention.",Sauvignon Blanc,"White, Loire",2022,13%,9-11°C,"Nettle, citrus, chalk","Goat cheese, garden salads",0.8,0.04,0.05,0.4,draft
Seven of Wands,III,"The odds, defied. Again.",1,Marienburg Riesling,"Clemens Busch, Mosel","The hard-won kind lasts. Clemens Busch farms the Marienburg's grey slate by hand on slopes that would qualify as climbing walls, organically, where one slip costs a season. Every vintage is the odds defied again. The Riesling tastes of exactly that: tension, minerality, and refusal.",Riesling,"White, steep-slope Mosel",2021,12.5%,9-11°C,"Yellow plum, slate, herbs","Trout, pork schnitzel",0.8,0.15,0.05,0.45,draft
Seven of Wands,IV,The rescue. Someone had to.,1,Teroldego,"Foradori, Trentino","What's worth saving finds defenders. Teroldego was collapsing into anonymous co-op juice when Elisabetta Foradori spent decades rebuilding the grape vine by vine from old cuttings, standing between a variety and its disappearance. The rescue took a career. The wine, dark and alpine and alive, says it was worth one.",Teroldego,"Red, alpine",2021,13%,15-16°C,"Black raspberry, alpine herbs, iron","Speck, mushroom risotto",0.7,0.04,0.5,0.6,draft
Eight of Wands,I,"Speed, chosen. Keep up.",1,Beaujolais Nouveau,"Domaine Dupeuble, Beaujolais","Fresh is a flavor of its own. Nouveau goes from vine to glass in about six weeks, released by law on the third Thursday of November, wine moving as fast as wine is allowed to move. Dupeuble's is the real thing: violet, banana blossom, pure velocity. It won't wait. That's the charm.",Gamay,"Red, Nouveau",2024,12.5%,"13°C, light chill","Violet, red berry, candy","Charcuterie, casual everything",0.7,0.06,0.2,0.35,draft
Eight of Wands,II,Caught mid-flight. Quick eye.,1,Pinot Grigio,"Alois Lageder, Alto Adige","The good stuff moves quickly. Alpine Pinot Grigio is picked bright, raised in steel, and out the door while the fruit still crackles; Lageder farms it biodynamically and bottles the velocity. Six months slower and the point would be gone. Catch it now. It was never going to linger.",Pinot Grigio,"White, alpine",2023,12.5%,8-10°C,"Pear, citrus, alpine air","Antipasti, light fish",0.7,0.05,0.05,0.4,draft
Eight of Wands,III,The fast current. Ride it.,1,Sauvignon Blanc,"Greywacke, Marlborough","Some energies refuse to idle. Marlborough Sauvignon made New Zealand's name at a sprint, and Greywacke, founded by Cloudy Bay's original winemaker, keeps the pace honest: passionfruit and lime moving at full current, acidity like a tailwind. Momentum in a glass, going one direction. Forward.",Sauvignon Blanc,"White, Marlborough",2023,13%,8-10°C,"Passionfruit, lime, blackcurrant leaf","Green herbs, goat cheese",0.85,0.06,0.05,0.4,draft
