card,number,status,keywords,meaning_1,meaning_2,reading_1,reading_2,closing_para,closing_status,notes
Three of Wands,W03,approved,Expansion|Foresight realized|Initial success|Waiting for results|Commerce|Progress|Looking ahead with confidence,"The Three of Wands is the card of plans afloat. It stands for expansion, first returns, and the stretch after a commitment when results begin arriving from a distance. Where the Two of Wands still weighs the venture, the Three has already launched: the ships are out, and the first of them are turning home.","Drawing it means something you set in motion is starting to answer. Early results are in, and they are shaped like encouragement: proof that the idea travels, that the effort carries, that the bigger version is not a fantasy. The card marks this as a waypoint rather than a finish. What has come back so far is confirmation. The full return is still at sea, and it is worth waiting in confidence rather than in worry.","The Three of Wands looks out from wherever effort has begun paying. A first client or first yes from beyond the usual circle. A skill starting to open doors it was built for. An investment of time showing its first real interest. Its counsel is patience of the active kind: keep the operation running while the long results travel, and widen the plan now that it is proven.","As for growth, scale by decision rather than by drift. Extend the route while momentum is real, hand off what has become routine, and let the evidence talk you into the bigger version you were too modest to draft. Trust travels. What you send out over the water comes back with interest, and the boats never launched are the only ones guaranteed empty.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols incl. 'Foresight realized', 'Waiting for results', 'Looking ahead with confidence'"
Four of Wands,W04,approved,Celebration|Harmony|Homecoming|Stability achieved|Community|Completion of a phase|Joy|Milestones|Marriage,"The Four of Wands is the fire suit's first celebration. It stands for milestones, homecoming, and the stability that follows a stretch of real effort: the frame of the thing is up, and the people who helped are gathering. Fours in this deck are resting points, and this is the happiest of them.","Drawing it means something has reached a stage worth marking. A foundation has held, a phase has closed cleanly, and the fitting response is a gathering rather than more work. The card is insistent about this: celebration is structural. Milestones left unmarked quietly stop feeling like progress, and the people who built the thing with you need the party as much as you do.","The Four of Wands goes up when the good news is real. A move that has become a home. A project crossing its first true threshold. A relationship settling into something worth announcing. Its counsel is to stop and mark the moment, out loud and in company, before the next phase starts demanding the attention.","Note who the card gathers: this is a communal celebration, never a solo one. Stability worth having is stability shared, and the surest measure of a foundation is how many people feel safe standing on it. So open the doors and make the invitation wide. What got built becomes a home at exactly the moment somebody else is welcomed into it.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols incl. Marriage and 'Completion of a phase' (distinct from The World's Completion); set of nine"
Five of Wands,W05,approved,Conflict|Competition|Disagreement|Minor struggles|Clashing egos|Dynamic tension,"The Five of Wands is the fire suit's friction. It stands for competition, clashing egos, and the noisy stage where several strong energies want the same space. Fives in this deck mark the rough patch after stability, and this one is the most physical: a scuffle, not a war, with more sparks than injuries.","Drawing it means you are in a contested moment. Ideas are colliding, personalities are jostling, and everything takes three rounds of argument longer than it should. The card reads the mess generously: this much friction means this many people care. Competition at this stage is how the strongest version of the idea gets found, provided nobody starts mistaking the sparring for the enemy.","The Five of Wands breaks out around crowded ambitions. A team full of leads and short on followers. A field where every rival showed up sharp. A debate that keeps reigniting because both sides are half right. Its counsel is to stay in the scrimmage without turning it personal, because the friction is doing work the agreement never could.","Treat the contest as training, which is what the card shows: five figures sparring, nobody bleeding. A good rival finds the weak points while the stakes are still low, and that is a favor, however it feels. Hold your position where it matters, yield where it does not, and watch what the collision teaches. These fives usually resolve the same way: five solo acts discovering they are one crew.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: '(can be creative or disruptive)' qualifier dropped; 'lack of cooperation' folded into Disagreement/Clashing egos (clunky as a chip) - flagged"
Six of Wands,W06,approved,Public recognition|Victory|Acclaim|Success|Confidence|Progress|Leadership after struggle,"The Six of Wands is the fire suit's victory parade. It stands for success made public: the win is real, the crowd knows about it, and the recognition has finally caught up with the work. After the scuffle of the Five, the Six is the moment somebody rides out in front with the crowd behind them.","Drawing it means acclaim is arriving, or is overdue and moving. Something you did is finally being seen, and the card wants the moment received well, without deflection and without suspicion of the applause. Recognition is fuel for the next stretch of the road, and it partly belongs to the people who backed you. Accepting it gracefully pays both debts at once.","The Six of Wands rides through wherever effort has gone public. A win with your name attached this time. Praise landing from a direction you respect. A comeback that outran everyone's quiet doubts. Its counsel is to stand in the moment fully, because received recognition steadies confidence, and deflected recognition teaches people to stop offering it.","The card's second lesson is what victory is for. Use the visibility while it is warm: ask for the bigger stage, the harder project, the trust that yesterday's win just purchased. And spend some of the credit publicly on the people who were in the fight with you. A parade is the one vehicle that gets larger the more passengers it takes on.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: leads 'Public recognition' over the Symbols' first-listed 'Victory' (acclaim is this card's territory; victory-through-will belongs to The Chariot) - flagged Wheel-style reorder"
Seven of Wands,W07,approved,Standing your ground|Defense|Conviction|Perseverance|Maintaining position|Challenge,"The Seven of Wands is the fire suit's defense of the summit. It stands for conviction under pressure: a position earned, then challenged, then held. Where the Six enjoyed the crowd's approval, the Seven discovers the crowd contains challengers, and the figure on the card plants its feet anyway.","Drawing it means something you have built or claimed is being contested: a stance, a standard, a piece of ground that others suddenly want. The card is realistic about the cost and firmly on your side about the holding. Position invites challenge; that is what being visible means. What matters now is that you actually believe in what you are defending, because conviction is the entire supply line.","The Seven of Wands digs in wherever your ground is being tested. A decision under fresh second-guessing. A standard you keep having to re-justify. Competitors crowding a space you cleared first. Its counsel is to defend the essential and only the essential, since defending everything with equal heat is the fastest way to hold nothing.","Check the foundation before the fight, and then fight without apology. A position worth holding survives your own honest audit first; once it has, stop relitigating it every time someone raises a hand. Answer the strongest challenge, ignore the noise, and let endurance do the arguing. A summit is rarely taken from the person who genuinely wants to be standing on it.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: leads 'Standing your ground' (the card's active stance); 'competition (defensive)' folded into Defense - flagged"
Eight of Wands,W08,approved,Speed|Action|Movement|Swift change|Communication|Travel|Things falling into place|Quick decisions,"The Eight of Wands is the fire suit at full speed. It stands for swift movement, news in flight, and the sudden alignment that lets stalled things happen all at once. It is the deck's purest card of motion: eight shafts already in the air, every one of them about to land.","Drawing it means the pace of your situation is about to change. Answers arrive in clusters, decisions that idled for months resolve in days, and travel or news crosses the distance fast. The card's request is readiness rather than reflection; this is a poor week for long deliberation and a great one for clearing the runway. When everything moves at once, the prepared simply say yes faster.","The Eight of Wands streaks through wherever momentum has been waiting. A reply that starts an avalanche of them. A green light that turns three other lights green. A window that opened suddenly and will close the same way. Its counsel is to move with the speed rather than against it, and save the fine-tuning for the landing.","Ride it lightly. Speed like this rewards short messages, quick decisions, and trust in the aim you took before things accelerated; mid-flight is a bad altitude for redesigning the arrow. Keep the days uncluttered, answer while the answers are hot, and let some things be fast instead of perfect. Slow seasons return soon enough. This week, the wind is a gift.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols incl. 'Things falling into place'; set of eight"
Nine of Wands,W09,approved,Resilience|Persistence|The last stand|Weary defense|Boundaries|Guardedness|Strength in reserve|Nearing completion,"The Nine of Wands is the fire suit's last watch. It stands for resilience near the finish: bandaged, guarded, still upright, with eight fights already absorbed and one stretch left to hold. Nines in this deck sit one step from completion, and this one asks what a person does when almost-done feels like one round too many.","Drawing it means you are closer to the end than your energy suggests, and the card holds both truths at once. The weariness is legitimate: this has cost something, and the guardedness shows it. So is the position: the line has held every single time it was tested. The card's arithmetic is simple and kind. Anyone still standing this late is far more durable than they currently feel.","The Nine of Wands leans on the doorframe of nearly-finished things. A long project in its last, heaviest mile. A commitment tested often enough to make cynicism tempting. A boundary that needs holding one more time. Its counsel is to guard the essentials and spend nothing extra, because the reserves have a job left to do.","Rest counts as strategy now. Patch what is patchable, decline every optional battle, and be suspicious of the voice claiming it was all for nothing; exhaustion is a bad historian. Then hold. The difference between defeat and triumph, this late, is usually one more held morning. The card's figure is tired, marked, and unbeaten, and the third word is the one that counts.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'nearing completion but wary' split - 'Nearing completion' kept whole, the wariness carried by Guardedness - flagged"
Ten of Wands,W10,approved,Burden|Responsibility|Overload|Hard work|Stress|Taking on too much|A heavy completion,"The Ten of Wands is the fire suit's full armload. It stands for burden, responsibility, and the strange arithmetic of success: every yes ever said, now being carried at once, uphill, by one person. Tens in this deck are completions, and this one completes with a heavy step: the goal is close, and so is the limit.","Drawing it means the load is real and mostly self-assembled. Somewhere along the way, capability became an invitation: you could carry more, so more arrived, and the habit of accepting it started passing for a personality. The card does not doubt your strength. It questions the sorting. Some of what is on your back is yours, some is momentum, and some belongs to people perfectly capable of carrying it.","The Ten of Wands bends under whatever cannot be put down gracefully. A role that quietly swallowed three others. A season where every task is somehow the urgent one. A finish line visible but arriving through mud. Its counsel is triage without guilt: finish what is truly yours, hand back what never was, and stop auditioning for sainthood.","Put things down in public. Quiet overload reads as competence from the outside, so the help never comes because the strain never shows; say the load out loud and watch how much of it turns out to be movable. Delegation, this card insists, is a completion skill, the thing that separates finishing the journey from becoming its pack animal. Arrive lighter. What counts at the door is the delivery, and nobody grades the carrying.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'completion (but heavy)' rendered as 'A heavy completion' (this qualifier is constitutive, unlike the Emperor's 'potential') - flagged"
Page of Wands,W11,approved,A messenger of inspiration|Enthusiasm|Exploration|The spark of a new idea|Creative beginnings|A free spirit|Discovery,"The Page of Wands is the fire suit's youngest face. Pages in this deck are students and messengers, each carrying their suit's energy in its rawest form, and this one carries the spark: enthusiasm without portfolio, curiosity with its shoes already on. Nothing about the Page is finished, and nothing about it is jaded either.","Drawing it means a fresh enthusiasm is asking for room, and its inexperience is a feature. You are a beginner again somewhere, or could be, and the card is delighted about it: beginners notice what experts have stopped seeing, and they try what experts have talked themselves out of. Give the new interest some unstructured time before assigning it a purpose. Messages this young mostly need to be heard out.","The Page of Wands bounds in wherever curiosity has been sparking. A subject you keep reading about past bedtime for no career reason. An invitation toward somewhere unfamiliar. A creative itch with no credentials and real persistence. Its counsel is to follow the interest as an amateur on purpose, because amateur is just the old word for someone who does it for love.","Explore without a syllabus. Take the class, book the detour, ask the naive question in the room full of veterans, and let the enthusiasm be visible; sparks travel between people, and yours will find its senders and receivers. Not every flare has to become a vocation. The Page's whole job is delivering the message, and the message, here, is simply: this way looks fun, come see.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols incl. 'A messenger of inspiration' (the Page's rank-role); court orientation: pages = students and messengers; messenger symbol now LEADS per the batch-8 rule (supersedes batch-6 last-position)"
Knight of Wands,W12,approved,Action|Adventure|Impulsiveness|Energy|Passion|Charisma|Charging ahead|Travel|Hastiness,"The Knight of Wands is the fire suit at a gallop. Knights in this deck are their suit's energy taken to the extreme, and this one is pure charge: passion, adventure, and momentum with the brakes considered optional. It is the deck's most exciting arrival and its least careful, usually in the same afternoon.","Drawing it means a surge of bold energy is moving through your situation, yours or somebody else's. Things are catching fire in the good sense: plans accelerate, doors get pushed on, and charisma is doing real work. The card backs the boldness and posts one small warning next to it. Speed of this kind finishes gloriously or leaves early, and the difference is usually whether the energy ever picked a direction.","The Knight of Wands kicks the door in wherever boldness is due. A plan you have been over-preparing that mostly needs launching. An adventure with a short RSVP window. A charismatic arrival, in your life or in your mirror, promising motion. Its counsel is to use the surge while it lasts, and to aim before spurring.","Channel it, and it is unstoppable; indulge it, and it is a highlight reel of unfinished starts. Pick the one quest that deserves this much horsepower and give it the whole animal. Let the passion set the pace and let something steadier set the route. Then go. The Knight's virtue is that it actually leaves, today, while the rest of the world is still drafting the plan.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols (nine entries incl. Hastiness); court orientation: knights = the suit's energy at its extreme"
Queen of Wands,W13,approved,Confidence|Warmth|Vibrancy|Determination|Social grace|Independence|Courage|Magnetism|Leadership,"The Queen of Wands is the fire suit worn as presence. Queens in this deck have made their suit's energy fully their own, and this one radiates it: confidence, warmth, and a vitality that other people can feel from across the room. Hers is fire as hearth and beacon at once, sustaining her own and visible for miles.","Drawing her means the moment calls for owned confidence, yours or a figure like her nearby. Something wants doing in the open, with warmth and full wattage, by someone unafraid to be seen caring. The card considers self-assurance a renewable resource: it feeds on honest use. Whatever you have been doing at half-brightness to keep the room comfortable, she would like turned up.","The Queen of Wands presides wherever warmth and will share a chair. A leadership moment that needs heart as much as spine. A gathering that comes alive once somebody warm takes charge of it. A talent you have been dimming out of politeness. Her counsel is to bring the full flame and let the room adjust, because it will.","Pair the shine with spine; that is her whole curriculum. Warmth without boundaries becomes service to every passing demand, so keep the independence that makes generosity a choice. Encourage loudly, decide firmly, and hold court without apologizing for the wattage. Fires this steady are rare, and their real work is what they make possible for others: people think better, dare more, and warm up quickly in the company of someone burning well.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'attractive energy' condensed to 'Magnetism' (Hierophant-style condensation) - flagged; court orientation: queens = the suit mastered as presence"
King of Wands,W14,approved,Leadership|Vision|Inspiration|Charismatic authority|Entrepreneurship|Bold action|Mastery of passion|The big picture,"The King of Wands is the fire suit in command. Kings in this deck are their suit's energy matured into authority, and this one turned passion into an enterprise: vision, leadership, and the confidence to point at a horizon and make the pointing stick. The fire still burns; it simply answers to him now.","Drawing him means the moment wants big-picture nerve, from you or from someone whose lead you are weighing. Something has outgrown day-to-day management and needs a direction worth years, declared with enough conviction that others can build careers inside it. The card's faith is specific: passion, seasoned and aimed, is the most durable authority there is. People follow heat that knows where it is going.","The King of Wands holds council wherever vision needs an owner. A venture ready to scale past its founder's hands. A team that has plenty of tasks and no story. A decision that needs somebody to simply call it. Its counsel is to take the long view out loud, because groups drift without a declared horizon and rally fast behind one.","Lead like the fire is a resource, and delegate everything but the vision. The King does his real work at the level of direction: choosing the mountain, naming the pace, and letting abler climbers own the ropes. Keep the founder's spark visible; it is the asset everything else was built on. Bold action, at this rank, mostly means deciding big and standing by it in public.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'authority (charismatic)' kept whole as 'Charismatic authority' per the constitutive-qualifier rule (distinguishes him from The Emperor) - flagged; court orientation: kings = the suit in command"
Ace of Cups,C01,approved,Overflowing love|New emotional beginnings|Compassion|Receptivity|Joy|Intuition sparked|Spiritual connection|Creativity,"The Ace of Cups opens the suit of water, the family of the deck that governs emotion, relationship, intuition, and the heart's kind of creativity. Every ace is a seed, and this one is planted in the chest: a new feeling, a fresh openness, the first swell of something that wants to overflow.","Drawing it means the heart is being offered a beginning: a connection sparking, a compassion rising, a creative feeling arriving ahead of any plan for it. The card asks for receptivity above all. New feeling this fresh does not need vetting, defining, or forecasting yet; it needs to be let in. Cups begin by being held open, and everything else the suit promises follows from that.","The Ace of Cups wells up wherever feeling is newly arriving. A person you find yourself hoping will call. A warmth toward someone that surprised you. A creative pull that feels more like affection than ambition. Its counsel is openness without agenda: let the feeling be real for a while before deciding what it is for.","Receive first and sort later. A heart at a beginning is allowed to be generous past all reason, and this card would rather see a little spill than a sealed cup. Express the warmth while it is fresh: say the kind thing, start the tender project, answer softness with softness. Overflow is the design, and what overflows is exactly the part that reaches other people.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; FIRST CUP: water-suit orientation opens the suit; keywords whole from the Symbols incl. 'Intuition sparked'"
Two of Cups,C02,approved,Union|Partnership|Mutual attraction|Connection|Shared values|Harmony|Truce,"The Two of Cups is the water suit's meeting of eyes. It stands for partnership, mutual attraction, and the moment two people recognize something in each other and decide it matters. Where The Lovers weighs a life-sized choice, the Two of Cups is smaller and nearer: one connection, forming right now, in both directions at once.","Drawing it means a bond in your life is at the exchange stage, where what is offered and what is returned are finding their balance, and the card's happy report is that the flow runs both ways. Mutuality is its entire subject: the small daily trade of attention and regard that every larger union is secretly made of. Tend the trade and the union tends itself.","The Two of Cups passes between people wherever a real connection is forming. A friendship crossing into trusted territory. A working relationship that has started finishing each other's ideas. An attraction that is, by every visible sign, mutual. Its counsel is reciprocity in the small things, because bonds are built at the scale of returned messages, not declarations.","Meet the offer at its level. Match confidences with confidences, effort with effort, and honesty with the kind of honesty that costs something; symmetry is what makes a bond feel safe enough to deepen. And guard the truce clauses: repair small ruptures quickly, while they are still small. Two cups held level is the whole picture, and level is a verb here.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'balance in relationship' folded into Harmony/Partnership (clunky as a chip) - flagged; Union shared with The Lovers per the recipe principle"
Three of Cups,C03,approved,Joyful gatherings|Friendship|Community|Collaboration|Celebration|Shared happiness|Harvest|Abundance,"The Three of Cups is the water suit's festival. It stands for friendship, community, and the specific joy that only exists in company: shared, loud, and larger with every person added. If the Two is a bond between two people, the Three is what happens when the bonds form a circle.","Drawing it means your people are the point right now. Something deserves celebrating together, a connection wants renewing, or joy has simply been running too solitary lately. The card's claim is cheerfully practical: happiness compounds in company, and friendships are kept alive by exactly the gatherings that busy seasons cancel first.","The Three of Cups gets the group text going. A win that belongs to more than one name. A friendship overdue for an actual evening together. A community that would form instantly if somebody sent the invitation. Its counsel is to be the one who organizes it, because everyone is waiting for someone, and the card just made it you.","Show up fully when you get there. Put the phone away, tell the old stories, celebrate each other's news like it is your own, and let the evening run long; collective joy is a skill that atrophies quietly and returns instantly. Note the card's timing, too. It tends to appear at harvests of one kind or another, and whatever you have been growing alone is ready to be shared.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols; Abundance shared with The Empress per the recipe principle"
Four of Cups,C04,approved,Apathy|Contemplation|Boredom|Missed opportunities|Withdrawal|Discontent|Re-evaluation|Meditation,"The Four of Cups is the water suit gone flat. It stands for apathy, boredom, and the season when nothing on offer looks interesting, including some things that genuinely are. Fours in this deck are resting points, and this one has rested slightly too long: the pause has begun preserving the mood instead of the person.","Drawing it means discontent has settled in somewhere, quiet and unglamorous. Options exist and are being waved away without real inspection, while the mind circles the same dissatisfactions like furniture it has stopped seeing. The card is patient with this, because contemplation is real work when it is actually contemplating. It draws one gentle line: there is a difference between sitting with a question and simply sitting, and only one of them ends.","The Four of Cups slumps wherever appetite has gone missing. An offer dismissed before it was examined. A routine that has smoothed every day into the same day. A restlessness with no plan attached to it. Its counsel is a deliberate second look at the thing most recently refused, since apathy grades opportunities poorly and rarely rechecks its work.","Change the vantage before changing the verdict. Boredom is usually a stale angle rather than a barren field, and the cure is often embarrassingly small: a new room, a new question, one accepted invitation attended with actual attention. The card's famous detail is the fourth cup, offered from outside the frame while the figure studies the first three. Something is being extended to you right now. Looking up is the entire assignment.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords straight from the Symbols; set of eight; the fours-as-resting-points gloss deliberately reprised from the Four of Wands ('this one has rested slightly too long')"
Five of Cups,C05,approved,Loss|Grief|Regret|Disappointment|Sadness|Disillusionment,"The Five of Cups is the water suit's grief. It stands for loss, regret, and the heavy stretch when what went wrong is the only thing the eye can find. Fives in this deck are its rough patches, and this one is the quietest: a figure in a dark cloak, three cups down, and the mourning still in progress.","Drawing it means something has genuinely been lost, and the card refuses to hurry you past that. The spill was real, and the sadness is earned and allowed. But the picture holds a second fact with equal weight: two cups still stand, unspilled, just behind the mourner, and they never leave the frame. Grief narrows the vision without emptying the table. What remains is real too, and it is patient.","The Five of Cups stands vigil over disappointments that mattered. A plan that failed after real investment. A relationship that ended before its story did. A regret that keeps re-running its one scene. Its counsel is to mourn properly instead of efficiently, because sorrow given its due leaves on time, and sorrow rushed keeps returning for what it is owed.","When the turn comes, and it will, make it physically. The card's mourner must literally turn around to see what survived, and so will you: name two things still standing, then walk toward one of them. The picture is honest in both directions. Three spilled and two standing is a real loss, and it is also, quietly, enough to build with.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: the spilled-vs-standing mechanic carried by the prose (Strength precedent; too complex for a chip) - flagged; set of six"
Six of Cups,C06,approved,Nostalgia|Childhood memories|Simple joys|Innocence|Giving and receiving|Gifts from the past|Returning home|Harmony,"The Six of Cups is the water suit's look homeward. It stands for nostalgia, childhood sweetness, and the gifts that travel forward out of the past: old friendships, family flavors, the person you were before life got complicated. It is the deck's gentlest card, and it plays fair: the past it shows is the part worth keeping.","Drawing it means the past is visiting, kindly. A memory keeps surfacing, an old name reappears, or a simple pleasure from an earlier chapter is asking to be taken seriously again. The card treats nostalgia as a resource rather than a retreat: what you loved before you edited yourself is a reliable record of what you actually are. Visit, collect, and come back with something.","The Six of Cups knocks with something familiar in hand. A friend from an earlier era who still fits. A childhood pleasure you stopped granting yourself for no defensible reason. A family story that explains more than it used to. Its counsel is to accept the gift as a gift, without irony, because sweetness taken plainly is the whole point of this card.","Reach backward on purpose. Send the message to the old friend, cook the childhood meal, take the detour past the old house, and give innocence a seat at the adult table; simple joys survive every sophistication we stack on top of them. Just leave the return ticket intact. The past makes a nourishing visit and a poor address, and this card, read rightly, is a visit.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols (eight entries); Innocence shared with The Fool, Harmony with The Lovers per the recipe principle"
Seven of Cups,C07,approved,Choices|Options|Fantasy|Illusion|Wishful thinking|Imagination|Dreams|Temptation|Needing discernment,"The Seven of Cups is the water suit's hall of options. It stands for choices multiplying past usefulness: possibilities, fantasies, and wishes crowding one shelf, each glittering, few examined. Where The Moon blurs what is true, the Seven of Cups blurs what is wanted, and the fog in both cases is homegrown.","Drawing it means you are standing in front of too many doors, and the abundance has quietly become the obstacle. Some of the options are real, some are decorated versions of avoidance, and daydreaming has started doing the work deciding should be doing. The card enjoys imagination and says so; the trouble is only that a wish, left unchosen, spends the same hours a plan does and pays out nothing.","The Seven of Cups shimmers over decisions that keep not happening. A list of possibilities that grows instead of shrinking. A fantasy so well-furnished it feels like progress. An open question kept open because open is comfortable. Its counsel is discernment with a deadline: examine each cup for substance, then choose while choosing still costs less than drifting.","Test the contents, one at a time. For each option, ask what it demands on an ordinary Tuesday, because fantasies never include the Tuesdays and real futures are built of them. Then honor the imagination that produced the whole display; it is a gift misapplied, and once a single cup is chosen it becomes the engine again. Pick one dream and give it a calendar. The other six were only ever going to be window displays.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: the Symbols' 'Needing discernment' restored over 'Discernment' (names the awareness of trying to do too much at once, not the act of discerning)"
Eight of Cups,C08,approved,Moving on|Seeking deeper meaning|Letting go|Withdrawal|Abandonment|Disillusionment|A journey for truth,"The Eight of Cups is the water suit's walking-away card. It stands for the decision to leave something that still works on paper: the arrangement is intact, the cups are neatly stacked, and the figure is already moving off into the hills. This is departure as integrity, chosen when enough stopped being the same as meaningful.","Drawing it means part of you has already left something, and the rest of you is negotiating the timing. The card's honesty runs both directions: what you are leaving is genuinely fine, and fine is genuinely the reason to go. Walking away from wreckage takes no card at all. The hard, honorable departure is from the good-enough thing that quietly stopped feeding you, and this card exists to say it is allowed.","The Eight of Cups waits by the coat rack of finished chapters. A role that fits and no longer matters. A pursuit achieved all the way to hollow. A place, group, or version of yourself that you have outgrown without drama. Its counsel is to trust the quiet verdict, because meaning does not return to where it has stopped living, however politely you wait.","Leave well. Settle what needs settling, thank what deserves thanking, and go without manufacturing a villain to justify the exit; some departures are nobody's fault and still necessary. Then walk toward the question rather than the answer, because this journey is a search, and searches begin unfinished on purpose. The card sends its traveler uphill, into quieter country. Deeper is that way.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'journey for emotional/spiritual truth' condensed to 'A journey for truth' (the slash-pair resists a chip) - flagged; Letting go shared with Death and The Hanged Man per the recipe principle"
Nine of Cups,C09,approved,Wishes fulfilled|Contentment|Satisfaction|Emotional fulfillment|Comfort|Sensual pleasure|Abundance,"The Nine of Cups is the water suit's satisfaction, and the whole deck's wish card. It stands for contentment, comfort, and desires actually fulfilled: the table is set, the cups are arranged, and the host is beaming for good reason. Nines sit one step from completion, and this one already feels complete.","Drawing it means a wish is being granted, or recently was, and the card's entire instruction is to actually enjoy it. Emotional fulfillment is the specialty here: comfort earned, pleasure arrived, a stretch of life where wanting and having briefly agree. Take the moment at face value. Wishes spend years being worked for and minutes being savored, and this card thinks the ratio is a scandal.","The Nine of Cups makes itself comfortable wherever satisfaction is available. A goal reached that still feels as good as advertised. A comfort you can finally afford, in money, time, or peace. A wish from years ago quietly granted since. Its counsel is savoring as an active verb: notice the having, out loud, to yourself, while it is happening.","Enjoy it without cross-examining it. Sensual pleasure, good company, and simple comfort are the joys bodies were built for, and this card grants them without a means test. One caution rides along: satisfaction hoards poorly. Shared, it stays warm; guarded, it curdles into smugness on its own schedule. So set out more cups than you strictly need. A wish come true was always meant to have witnesses.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: leads 'Wishes fulfilled' (the deck's wish card; Wheel-style reorder); 'the wish card' nickname carried into meaning_1 - flagged"
Ten of Cups,C10,approved,Lasting happiness|Family harmony|Emotional completion|Joy|Community|Shared blessings|Happily ever after|Peak emotional experience,"The Ten of Cups is the water suit's happy ending. It stands for lasting happiness: family harmony, shared blessings, the rainbow-over-the-roof picture of a life that worked. Tens in this deck are completions, and where the fire suit's ten arrives burdened, this one arrives home. The picture is complete, and it means to stay.","Drawing it means the emotional account is full, or filling: the people are the right people, the home feels like one, and happiness has stopped being an event and started being a climate. The card asks for two things at once. Recognize the completeness while you are inside it, since these are the days future nostalgia will be made of, and hold it with open hands rather than a grip.","The Ten of Cups comes home to whole-hearted arrangements. A family, given or chosen, at genuine peace. A household that other people relax inside. A long love that kept its warmth through the sensible years. Its counsel is presence over improvement: stop renovating the moment and live in it.","Say it out loud to the people in the picture. Lasting happiness runs on maintenance, gratitude spoken, rituals kept, small repairs made early, and the keeping is joyful work rather than overhead. Let the completeness loosen you, too; a full cup can afford generosity in every direction. The rainbow on this card is a promise caught in the act of holding.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols incl. 'Happily ever after' and 'Peak emotional experience'; set of eight"
Page of Cups,C11,approved,A messenger of feelings|Intuitive messages|Sensitivity|Curiosity|Creative beginnings|Synchronicity|The dreamer,"The Page of Cups is the water suit's dreamer. Pages are the deck's students and messengers, and this one studies feelings: a sensitive, curious soul who takes signals from everywhere, including dreams, hunches, and the fish that seems to speak from the cup. It is the most whimsical card in the deck, entirely on purpose.","Drawing it means something tender and imaginative is trying to get your attention: an intuition, an artistic impulse, a feeling that arrived before its explanation. The card asks you to take the small strange signal seriously, since these messages come only once and quietly. Sensitivity, here, is an instrument rather than a fragility, and curiosity about your own currents is the whole skill being taught.","The Page of Cups surfaces with something odd and precious. A dream that lingered past breakfast. A creative urge with more feeling than plan. A coincidence that seems, insistently, addressed to you. Its counsel is to receive the message before judging the messenger, because whimsy is often insight wearing its off-duty clothes.","Answer in kind. Write the idea down, make the small tender thing, tell someone the dream at the risk of sounding silly; expressiveness grows by being used, and so does the courage to show it. Synchronicity favors the people who acknowledge it, whatever the mechanism. Keep the cup held out in front of you, the way the Page does. Curious things land in open vessels.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict (batch 8): 'A messenger of...' symbols LEAD their Pages' sets (reverses the batch-6 last-position rule)"
