card,number,lens_no,nudge,lens_name,lens_subtitle,wine_mapping_idea,status
Eight of Swords,S08,I,,Bound by the rules,even good fences feel tight sometimes,"strict appellation codes: Barolo DOCG, Château-Chalon's regulations",draft
Eight of Swords,S08,II,,Wound tight,the tension is temporary,"tightly wound youth: 2010 Pichon Baron, young mountain Cabernet",draft
Eight of Swords,S08,III,,Waiting to be let out,release is a matter of time,trapped-then-freed wines: G. Rinaldi Barolo transformed by hours of air,draft
Eight of Swords,S08,IV,,A forbidden era,what's banned rarely stays gone,"Prohibition survivors: Beaulieu Vineyard, Concannon (sacramental licenses)",draft
Nine of Swords,S09,I,,A mind that won't quiet,intensity can be pointed somewhere,"demanding-focus wines: Keller Riesling, vintage Madeira",draft
Nine of Swords,S09,II,,A nervy edge,"tension, aimed well, becomes energy","nervy acidity: Raveneau Chablis, Muscadet sur lie",draft
Nine of Swords,S09,III,,Back to earth,the ground is where worry ends,"grounding earthy wines: mature Burgundy, aged Clos Rougeard Cabernet Franc",draft
Ten of Swords,S10,I,,The last of its line,some endings close the book entirely,"end-of-era finales: Noël Verset's last Cornas, Gentaz-Dervieux Côte-Rôtie",draft
Ten of Swords,S10,II,,A field where it ended,history buried is history kept,"ruin sites: Mastroberardino Lacryma Christi on Vesuvius, destroyer of Pompeii",draft
Ten of Swords,S10,III,,A simple mercy,"when it's all over, simple is enough","stark simplicity after the ordeal: G.D. Vajra Dolcetto, honest Bourgogne Rouge",draft
Ten of Swords,S10,IV,,Sweeter for the fall,some things must be lost completely first,"noble rot, the harvest's total surrender: Tokaji Aszú, Beerenauslese",draft
Page of Swords,S11,I,,Wide awake,sharp minds like sharp company,"crisp stimulating whites: Loire Sauvignon Blanc, dry Tokaji Furmint",draft
Page of Swords,S11,II,,A new trick learned,fresh methods find fresh answers,"new ideas and techniques: Walter Massa's Timorasso rescue, concrete-egg whites",draft
Page of Swords,S11,III,,Straight from the source,every place has a handwriting,"textbook terroir signatures: flinty Silex Sancerre, oyster-shell Chablis",draft
Page of Swords,S11,IV,,Quick on its feet,lightness moves fastest,"energetic light reds: Occhipinti Frappato, Austrian Zweigelt",draft
Knight of Swords,S12,I,,Straight at it,directness saves everyone time,"bold focused attack: Clape Cornas, Dunn Howell Mountain",draft
Knight of Swords,S12,II,,A clean exit,the ending is part of the argument,"sharp cutting finish: Roagna Barbaresco, Santorini Assyrtiko",draft
Knight of Swords,S12,III,,No permission asked,boundaries are suggestions to some,"boundary-pushing ambition: Schrader Cellars, Orin Swift",draft
Queen of Swords,S13,I,,Told straight,honesty is the highest courtesy,"bracing dry clarity: Trimbach Riesling, Wachau Smaragd",draft
Queen of Swords,S13,II,,Clean lines,definition is a form of respect,"structured and well-defined: Produttori del Barbaresco, Pessac-Léognan blanc",draft
Queen of Swords,S13,III,,An edge of salt,wit this dry keeps its edge,"saline mineral edge: Manzanilla Sherry, flinty Chablis",draft
King of Swords,S14,I,,Exacting standards,precision is a promise kept,"precision mastery: Didier Dagueneau, Keller GG Riesling",draft
King of Swords,S14,II,,A learned authority,"depth is earned, then shared","aged intellectual depth: mature Pauillac, aged Puligny-Montrachet",draft
King of Swords,S14,III,,A grand strategy,foresight compounds quietly,"decades-long strategy: Krug Grande Cuvée's multi-vintage design, Valdespino solera",draft
Ace of Pentacles,P01,I,,Breaking ground,everything grand was once ground level,"first vintage of a new venture: Antica Terra's debut, Domaine de la Côte",draft
Ace of Pentacles,P01,II,,A field reclaimed,good earth waits patiently,"replanted and rescued vineyards: Ridge Lytton Springs, Bedrock rehabilitations",draft
Ace of Pentacles,P01,III,,One patch of earth,a place can fit in the hand,"terroir-in-a-glass: single-vineyard Chablis, Hermitage 'Les Bessards'",draft
Ace of Pentacles,P01,IV,,In on the ground floor,the best investments start small,"collectible current releases: Keller GG, Saxum, Foillard new vintages",draft
Two of Pentacles,P02,I,,Kept in the air,"grace is chaos, practiced","opposing elements juggled: Huet Vouvray Sec-Tendre, Mosel Kabinett",draft
Two of Pentacles,P02,II,,A gathered balance,"many sources, one steady hand","multi-vineyard juggling: Ridge Geyserville, Penfolds Bin 389",draft
Two of Pentacles,P02,III,,A nimble year,adaptation is quiet talent,variable-vintage adaptability: deft 2011 / 2013 Burgundy from top hands,draft
Two of Pentacles,P02,IV,,"Two jobs, one name",duty and passion can share a desk,commercial line beside passion project: Duckhorn Merlot vs their single-vineyard work,draft
Three of Pentacles,P03,I,,Built by many hands,the guild outbuilds the genius,"great cooperatives: La Chablisienne, Germany's VDP model",draft
Three of Pentacles,P03,II,,A master on call,expertise travels well,"consulting winemakers: Michel Rolland (Pape Clément), Stéphane Derenoncourt",draft
Three of Pentacles,P03,III,,A perfect crew,a good team makes it look inevitable,"synergy blends: Château Lynch-Bages, Esprit de Tablas",draft
Three of Pentacles,P03,IV,,The student's first mark,good teaching shows in the work,"master's apprentices: Mike Grgich (trained under Tchelistcheff), Ehren Jordan (Turley protégé)",draft
Four of Pentacles,P04,I,,Built to keep,holding on is a strategy too,"long-haul agers: Vintage Port, Chinon (Olga Raffault)",draft
Four of Pentacles,P04,II,,A deep vault,the careful never run out,library-cellar conservatives: Giacomo Conterno's deep reserves,draft
Four of Pentacles,P04,III,,Under lock and key,scarcity sharpens desire,"hoarded allocations: Screaming Eagle, Yvon Métras",draft
Four of Pentacles,P04,IV,,A guarded few rows,small holdings hold tightest,"jealously guarded parcels: Cros Parantoux (Jayer), Clos de Vougeot's eighty owners",draft
Five of Pentacles,P05,I,,Through lean years,the lean years made the backbone,"once-impoverished regions risen: post-communist Tokaj, Aglianico del Vulture",draft
Five of Pentacles,P05,II,,A brutal season,what the frost spared became precious,disaster-vintage survival: Dauvissat 2021 Chablis after the devastating frost,draft
Five of Pentacles,P05,III,,Left off the list,outside has better company anyway,"outside the classifications: Grange des Pères, Domaine de Trévallon (Vin de France by choice)",draft
Six of Pentacles,P06,I,,For the greater good,generosity can be an institution,charity wines: Hospices de Beaune auction (funding the hospital since 1443),draft
Six of Pentacles,P06,II,,More than its price,some gifts come disguised as bargains,"over-delivering value: Guigal Côtes du Rhône, Baudry Chinon",draft
Six of Pentacles,P06,III,,A patron's hand,great work often had a backer,patronage: Louis Roederer Cristal (created for the Russian court),draft
Seven of Pentacles,P07,I,,Planted for later,the best rewards are slow ones,"decades-in-cellar investments: Vintage Port (Taylor 1994), Egon Müller Riesling",draft
Seven of Pentacles,P07,II,,Slow by design,some methods refuse to hurry,slow patient methods: Canteiro-aged Madeira resting decades in warm lofts,draft
Seven of Pentacles,P07,III,,Finally paying off,long bets settle in full,"newly mature vineyard projects: Clos Mogador, Sea Smoke",draft
Eight of Pentacles,P08,I,,Every detail attended,perfection is a pile of small choices,"meticulous craft: Jacques Selosse, Coche-Dury",draft
Eight of Pentacles,P08,II,,An understudy's turn,the training shows early,"second labels: Carruades de Lafite, Les Forts de Latour",draft
Eight of Pentacles,P08,III,,"One plot, one lifetime",devotion narrows and deepens,"single-vineyard mastery: J.J. Prüm's Wehlener Sonnenuhr, Clos Rougeard 'Les Poyeux'",draft
Nine of Pentacles,P09,I,,A well-earned treat,reward is part of the work,"luxury indulgence: Château Suduiraut Sauternes, Tignanello",draft
Nine of Pentacles,P09,II,,A walled garden,what's wholly yours answers to no one,"monopoles: Clos de Tart, Château-Grillet, La Tâche",draft
Nine of Pentacles,P09,III,,Complete by itself,the finest company can be none,"self-sufficient complete wines: Château d'Yquem, Dom Pérignon P2, old Sercial Madeira",draft
Ten of Pentacles,P10,I,,Twenty-six generations,some families measure in centuries,"dynastic estates: Antinori (26 generations), Henschke Hill of Grace",draft
Ten of Pentacles,P10,II,,Older than the blight,the past survives in living things,"pre-phylloxera ungrafted vines: Colares (Viúva Gomes), Santorini",draft
Ten of Pentacles,P10,III,,Made to be handed down,some things are bought for grandchildren,"enduring agers: Vintage Port, decades-old Madeira",draft
Page of Pentacles,P11,I,,A name to watch,talent shows before fame does,"rising young winemakers: Chiara Condello, current ones-to-watch lists",draft
Page of Pentacles,P11,II,,A test plot,learning looks like tinkering,"experimental plantings: Tablas Creek small batches, Channing Daughters",draft
Page of Pentacles,P11,III,,A classic example,fundamentals never wasted anyone's time,"textbook study wines: benchmark Cloudy Bay Sauvignon, Heitz Napa Cabernet",draft
Page of Pentacles,P11,IV,,A fresh page,it's never too late to be a student,"career-changer students: Massican (Dan Petroski), Sandhi (Rajat Parr)",draft
Knight of Pentacles,P12,I,,Never a bad year,reliability is the rarest feat,"unwavering consistency: Château Musar, Ridge Vineyards",draft
Knight of Pentacles,P12,II,,A trusty workhorse,dependable is a compliment,"workhorse bottlings: Drouhin Bourgogne Rouge, Dr. Loosen Kabinett",draft
Knight of Pentacles,P12,III,,Done the long way,shortcuts were never considered,"methodical slow methods: traditional Rioja Gran Reserva, Bartolo Mascarello Barolo",draft
Queen of Pentacles,P13,I,,Salt of the earth,groundedness is generosity,"earthy nurturing wines: Domaine Tempier Bandol, Pommard",draft
Queen of Pentacles,P13,II,,Dinner's best friend,a good meal is a form of love,"food-versatile wines: Vietti Barbera d'Asti, dry Riesling",draft
Queen of Pentacles,P13,III,,An heirloom line,what's treasured gets replanted,heritage mother-vine clones: Swan and Calera heritage Pinot Noir,draft
King of Pentacles,P14,I,,A blue-chip name,some reputations are currency,"blue-chip icons: Château Lafite Rothschild, Harlan Estate",draft
King of Pentacles,P14,II,,A crown jewel,mastery has a masterpiece,"flagship achievements: Penfolds Grange, Vérité",draft
King of Pentacles,P14,III,,Worth more every year,wise purchases repay the wait,appreciating icons: older vintages of top Bordeaux and Napa,draft
